Index,Input0,Input1,Input2
0,486,513,729
1,486,513,729
2,486,513,729
3,486,513,729
4,486,513,729
5,486,513,729
6,486,513,729
7,486,513,729
8,486,513,729
9,486,513,729
10,486,513,729
11,486,513,729
12,486,513,729
13,486,513,729
14,486,513,729
15,486,513,729
16,486,513,729
17,547,525,732
18,549,529,734
19,545,526,733
20,548,528,736
21,547,527,735
22,545,522,735
23,543,522,736
24,544,525,736
25,546,526,732
26,545,523,734
27,544,522,734
28,542,525,734
29,545,527,732
30,544,527,734
31,544,525,735
32,544,524,734
33,545,525,736
34,546,527,736
35,549,528,733
36,548,521,735
37,545,525,734
38,545,531,729
39,540,525,731
40,542,524,734
41,543,526,732
42,543,521,736
43,548,514,742
44,546,521,735
45,547,522,736
46,546,517,736
47,545,527,730
48,546,528,733
49,547,526,734
50,544,527,735
51,541,528,733
52,541,525,735
53,541,526,732
54,541,526,732
55,547,529,733
56,550,523,735
57,547,521,736
58,544,525,733
59,545,520,738
60,545,522,736
61,543,523,734
62,540,525,732
63,540,524,733
64,544,524,733
65,545,527,733
66,544,525,733
67,538,522,734
68,544,526,733
69,549,526,736
70,542,525,744
71,541,522,748
72,545,523,755
73,543,524,752
74,522,533,756
75,532,541,761
76,553,530,787
77,563,544,784
78,563,535,776
79,572,538,775
80,562,526,763
81,567,529,757
82,569,541,740
83,551,528,734
84,543,514,734
85,558,550,717
86,537,537,712
87,549,523,728
88,552,542,722
89,562,554,725
90,560,560,712
91,553,506,747
92,557,525,730
93,552,534,722
94,540,494,725
95,541,488,724
96,549,494,724
97,546,486,694
98,548,452,675
99,650,540,649
100,687,603,663
101,573,561,683
102,523,512,680
103,549,511,728
104,544,489,740
105,571,475,755
106,577,527,725
107,587,525,721
108,567,509,732
109,545,502,732
110,553,505,734
111,552,509,725
112,575,511,733
113,548,511,724
114,553,507,732
115,551,501,737
116,556,512,726
117,549,514,727
118,544,497,733
119,564,510,732
120,551,497,729
121,559,501,741
122,543,504,730
123,554,496,739
124,561,502,735
125,537,507,722
126,557,502,727
127,560,503,735
128,541,499,729
129,559,515,728
130,555,510,730
131,555,497,740
132,547,499,735
133,538,504,727
134,554,501,736
135,556,502,730
136,563,509,731
137,552,504,729
138,557,504,732
139,561,505,734
140,558,501,735
141,564,503,736
142,563,508,730
143,555,501,733
144,554,500,729
145,553,501,729
146,542,501,725
147,554,508,725
148,550,505,730
149,549,503,731
150,546,503,730
151,548,504,730
